32.187C	     2018-07-31 22:23:16.784895
32.125C	     2018-07-31 22:23:27.664924
32.187C	     2018-07-31 22:23:38.544869
32.187C	     2018-07-31 22:23:49.424888
32.187C	     2018-07-31 22:24:00.304895
32.187C	     2018-07-31 22:24:11.184895
32.187C	     2018-07-31 22:24:22.064902
32.187C	     2018-07-31 22:24:32.944891
32.125C	     2018-07-31 22:24:43.824878
32.125C	     2018-07-31 22:24:54.705240
32.125C	     2018-07-31 22:25:05.584920
32.125C	     2018-07-31 22:25:16.464921
32.125C	     2018-07-31 22:25:27.344912
31.125C	     2018-08-01 18:33:42.977288
31.187C	     2018-08-01 18:33:55.776924
31.125C	     2018-08-01 18:34:06.656889
31.125C	     2018-08-01 18:34:17.536907
31.187C	     2018-08-01 18:34:28.416915
31.187C	     2018-08-01 18:34:39.296859
31.187C	     2018-08-01 18:34:50.176834
31.187C	     2018-08-01 18:35:01.056941
31.187C	     2018-08-01 18:35:11.936912
31.25C	     2018-08-01 18:35:22.816866
31.25C	     2018-08-01 18:35:33.696819
31.25C	     2018-08-01 18:35:44.576918
31.312C	     2018-08-01 18:35:55.456903
31.312C	     2018-08-01 18:36:06.336858
31.312C	     2018-08-01 18:36:17.216862
31.375C	     2018-08-01 18:36:28.096918
31.375C	     2018-08-01 18:36:38.976900
31.437C	     2018-08-01 18:36:49.856849
31.437C	     2018-08-01 18:37:00.736855
31.5C	     2018-08-01 18:37:11.616911
31.5C	     2018-08-01 18:37:22.496888
31.562C	     2018-08-01 18:37:33.376896
31.625C	     2018-08-01 18:37:44.256853
31.625C	     2018-08-01 18:37:55.136902
31.687C	     2018-08-01 18:38:06.016932
31.687C	     2018-08-01 18:38:16.896850
31.75C	     2018-08-01 18:38:27.776883
31.812C	     2018-08-01 18:38:38.656914
31.812C	     2018-08-01 18:38:49.536920
31.875C	     2018-08-01 18:39:00.416853
31.937C	     2018-08-01 18:39:11.296854
32.0C	     2018-08-01 18:39:22.176881
32.0C	     2018-08-01 18:39:33.056943
32.062C	     2018-08-01 18:39:43.936855
32.125C	     2018-08-01 18:39:54.816847
32.187C	     2018-08-01 18:40:05.696912
32.187C	     2018-08-01 18:40:16.576938
32.25C	     2018-08-01 18:40:27.456860
32.312C	     2018-08-01 18:40:38.336834
32.375C	     2018-08-01 18:40:49.216913
32.437C	     2018-08-01 18:41:00.096911
32.5C	     2018-08-01 18:41:10.976854
32.5C	     2018-08-01 18:41:21.856858
32.562C	     2018-08-01 18:41:32.736900
32.625C	     2018-08-01 18:41:43.616897
32.687C	     2018-08-01 18:41:54.496898
32.75C	     2018-08-01 18:42:05.376850
32.812C	     2018-08-01 18:42:16.256907
32.875C	     2018-08-01 18:42:27.136907
32.937C	     2018-08-01 18:42:38.016863
33.0C	     2018-08-01 18:42:48.896847
33.062C	     2018-08-01 18:42:59.776914
33.062C	     2018-08-01 18:43:10.656945
33.125C	     2018-08-01 18:43:21.537048
33.187C	     2018-08-01 18:43:32.416868
33.25C	     2018-08-01 18:43:43.296911
33.312C	     2018-08-01 18:43:54.176917
33.375C	     2018-08-01 18:44:05.056874
33.437C	     2018-08-01 18:44:15.937146
33.5C	     2018-08-01 18:44:26.816900
33.562C	     2018-08-01 18:44:37.696904
33.625C	     2018-08-01 18:44:48.576821
33.687C	     2018-08-01 18:44:59.456823
33.75C	     2018-08-01 18:45:10.337101
33.812C	     2018-08-01 18:45:21.216902
33.875C	     2018-08-01 18:45:32.096878
33.937C	     2018-08-01 18:45:42.976873
34.0C	     2018-08-01 18:45:53.856933
34.062C	     2018-08-01 18:46:04.737125
34.125C	     2018-08-01 18:46:15.616854
34.187C	     2018-08-01 18:46:26.496826
34.187C	     2018-08-01 18:46:37.376901
34.25C	     2018-08-01 18:46:48.256908
34.312C	     2018-08-01 18:46:59.137102
34.375C	     2018-08-01 18:47:10.016863
34.437C	     2018-08-01 18:47:20.896911
34.5C	     2018-08-01 18:47:31.776914
34.562C	     2018-08-01 18:47:42.656901
34.625C	     2018-08-01 18:47:53.537082
34.687C	     2018-08-01 18:48:04.416905
34.75C	     2018-08-01 18:48:15.296904
34.812C	     2018-08-01 18:48:26.176853
34.875C	     2018-08-01 18:48:37.056852
34.937C	     2018-08-01 18:48:47.936903
35.0C	     2018-08-01 18:48:58.816932
35.062C	     2018-08-01 18:49:09.696859
35.125C	     2018-08-01 18:49:20.576862
35.187C	     2018-08-01 18:49:31.456912
35.25C	     2018-08-01 18:49:42.337128
35.312C	     2018-08-01 18:49:53.216873
35.375C	     2018-08-01 18:50:04.096848
35.437C	     2018-08-01 18:50:14.976921
35.5C	     2018-08-01 18:50:25.856920
35.562C	     2018-08-01 18:50:36.736890
35.625C	     2018-08-01 18:50:47.616868
35.687C	     2018-08-01 18:50:58.496914
35.75C	     2018-08-01 18:51:09.376916
35.812C	     2018-08-01 18:51:20.256903
35.875C	     2018-08-01 18:51:31.137060
35.937C	     2018-08-01 18:51:42.016917
36.0C	     2018-08-01 18:51:52.896883
36.0C	     2018-08-01 18:52:03.776859
36.125C	     2018-08-01 18:52:14.656895
36.125C	     2018-08-01 18:52:25.537156
36.187C	     2018-08-01 18:52:36.416891
36.25C	     2018-08-01 18:52:47.296854
36.312C	     2018-08-01 18:52:58.177101
36.375C	     2018-08-01 18:53:09.056902
36.437C	     2018-08-01 18:53:19.936929
36.5C	     2018-08-01 18:53:30.816862
36.562C	     2018-08-01 18:53:41.696860
36.625C	     2018-08-01 18:53:52.576892
36.687C	     2018-08-01 18:54:03.456904
36.75C	     2018-08-01 18:54:14.336847
36.812C	     2018-08-01 18:54:25.216833
36.875C	     2018-08-01 18:54:36.096891
36.937C	     2018-08-01 18:54:46.976903
37.0C	     2018-08-01 18:54:57.856875
37.062C	     2018-08-01 18:55:08.736886
37.062C	     2018-08-01 18:55:19.616890
37.125C	     2018-08-01 18:55:30.496910
37.187C	     2018-08-01 18:55:41.376874
37.25C	     2018-08-01 18:55:52.256851
37.312C	     2018-08-01 18:56:03.136914
37.375C	     2018-08-01 18:56:14.016926
37.437C	     2018-08-01 18:56:24.896933
37.5C	     2018-08-01 18:56:35.776900
37.562C	     2018-08-01 18:56:46.656929
37.562C	     2018-08-01 18:56:57.536910
37.687C	     2018-08-01 18:57:08.416902
37.75C	     2018-08-01 18:57:19.296844
37.75C	     2018-08-01 18:57:30.176916
37.812C	     2018-08-01 18:57:41.056912
37.875C	     2018-08-01 18:57:51.936888
37.937C	     2018-08-01 18:58:02.816873
38.0C	     2018-08-01 18:58:13.696917
38.062C	     2018-08-01 18:58:24.576934
38.125C	     2018-08-01 18:58:35.456884
38.187C	     2018-08-01 18:58:46.336835
38.187C	     2018-08-01 18:58:57.216921
38.25C	     2018-08-01 18:59:08.096868
38.312C	     2018-08-01 18:59:18.976916
38.375C	     2018-08-01 18:59:29.856876
38.437C	     2018-08-01 18:59:40.736905
38.5C	     2018-08-01 18:59:51.616901
38.562C	     2018-08-01 19:00:02.496914
38.625C	     2018-08-01 19:00:13.376860
38.687C	     2018-08-01 19:00:25.136903
38.687C	     2018-08-01 19:00:36.016891
38.75C	     2018-08-01 19:00:46.896901
38.812C	     2018-08-01 19:00:57.776932
38.875C	     2018-08-01 19:01:08.656919
38.937C	     2018-08-01 19:01:19.536847
39.0C	     2018-08-01 19:01:30.416914
39.0C	     2018-08-01 19:01:41.296913
39.062C	     2018-08-01 19:01:52.176848
